Rod Load,Displacement,Time
-42404.52743590108,-1.3144600200657959,10.8
-42018.62886331832,-1.3605660214371984,10.9
-41677.932613857556,-1.4003706397458022,11.0
-41399.42862816111,-1.4336895221974952,11.100000000000001
-41192.27368521979,-1.460368354309741,11.200000000000001
-41058.08901224926,-1.480283574610211,11.3
-40992.11141097573,-1.49334294690462,11.4
-40984.70251219291,-1.499485987463336,11.5
-40963.086254330556,-1.4986842451482874,11.600000000000001
-40777.215416472616,-1.4909414331827695,11.700000000000001
-40301.78458212703,-1.4762934119538627,11.8
-39490.118155712946,-1.45480802292712,11.9
-38357.067711624666,-1.4265847744427307,12.0
-36939.51516958017,-1.3917543808483797,12.100000000000001
-35269.722686061716,-1.3504781571032891,12.200000000000001
-33367.45380159032,-1.302947271657286,12.3
-31243.12924959857,-1.249381861065149,12.4
-28913.597208905154,-1.190030010436853,12.5
-26643.345159380136,-1.1251666044456885,12.600000000000001
-24840.142845982824,-1.0550920542157538,12.700000000000001
-23799.677383133792,-0.9801309059851567,12.8
-23581.79970783415,-0.9006303379888255,12.9
-24042.559458462936,-0.8169585525225408,13.0
-24931.537392138922,-0.7295030706352346,13.100000000000001
-25984.05350555697,-0.6386689373476062,13.200000000000001
-26981.377581441895,-0.5448768457094657,13.3
-27779.370356250984,-0.44856118838412906,13.4
-28313.030845670182,-0.3501680457838582,13.5
-28585.42140726657,-0.25015312007415186,13.600000000000001
-28647.414362354284,-0.14897962461545797,13.700000000000001
-28574.90727973111,-0.047116138617190245,13.8
-28447.902166209944,0.05496556305983559,13.9
-28334.52207782454,0.15679269490148035,14.0
-28281.718698833683,0.25789365041911605,14.100000000000001
-28312.34079714074,0.3578001863678721,14.200000000000001
-28427.57785626543,0.45604959138823775,14.3
-28612.649407551875,0.5521868290270182,14.4
-28843.792559356534,0.6457666452124431,14.5
-29095.01564194896,0.736355630422713,14.600000000000001
-29343.341074020213,0.8235342269971984,14.700000000000001
-29572.010999392685,0.9068986722935644,14.8
-29771.699618062437,0.9860628686911448,14.9
-29940.09237915592,1.0606601717798216,15.0
-30080.130642819255,1.1303450884524582,15.100000000000001
-30197.95204536607,1.194794877036295,15.200000000000001
-30300.75265671794,1.253711042052407,15.3
-30395.06783916851,1.306820716680285,15.4
-30485.643203972515,1.3538779265247913,15.5
-30574.936661264503,1.3946647288323781,15.600000000000001
-30663.331366944927,1.4289922218803799,15.700000000000001
-30749.437920949375,1.4567014198644541,15.8
-30830.799249588064,1.4776639892321612,15.9
-30904.639741514817,1.49178284305241,16.0
-30968.392235213527,1.4989925906679846,16.1
-31026.85827393554,1.4992598405485973,16.2
-31178.78970923871,1.4925833549418392,16.3
-31561.880707169566,1.478994055605757,16.400000000000002
-32260.76747091424,1.4585548805965147,16.5
-33288.37914682158,1.4313604927744144,16.6
-34616.82071107442,1.3975368413783236,16.7
-36210.724153710355,1.3572405786990291,16.8
-38043.41434621237,1.3106583345531966,16.900000000000002
-40098.261800081214,1.2580058519181352,17.0
-42362.65865297414,1.199526987730634,17.1
-44811.19505856602,1.135492583477635,17.2
-47288.435279549034,1.066199210809488,17.3
-49523.413634443685,0.991967797985476,17.400000000000002
-51246.28717311332,0.9131421435130797,17.5
-52283.85385974214,0.8300873238650135,17.6
-52588.89554498031,0.7431880026486117,17.7
-52221.518879007686,0.6528466490584902,17.8
-51313.461088329124,0.5594816738637107,17.900000000000002
-50033.59600585408,0.4635254915624194,18.0
-48560.29797959173,0.3654225176790305,18.1
-47060.828554699256,0.26562711047937526,18.2
-45676.171509343105,0.16460146663656655,18.3
-44511.25149997251,0.06281348059379646,18.400000000000002
-43630.00042163692,-0.039265422461811694,18.5
-43055.356895940306,-0.14116246997777507,18.6
-42773.48837607748,-0.24240573165504162,18.7
-42741.37042925423,-0.34252630516598515,18.8
-42896.20720721696,-0.4410604878484615,18.900000000000002
-43165.43009221198,-0.5375519243179524,19.0
-43476.30502218381,-0.63155372005124,19.1
-43763.910891637424,-0.722630511152573,19.200000000000003
-43976.97335296682,-0.810360480716484,19.3
-44081.315809814994,-0.8943373124484264,19.400000000000002
-44060.80627578041,-0.9741720724952794,19.5
-43916.2943004391,-1.0494950107700491,19.6
-43662.8209455201,-1.119957273428089,19.700000000000003
-43325.77562880719,-1.185232518563535,19.8
-42936.60491249401,-1.2450184276430518,19.900000000000002
-42528.58948959026,-1.2990381056766593,20.0
